ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
16,2017,530001,Northwestern WA Nonmetropolitan Area (NMA),13-2011,Accountants & Auditors,333,$32.70,$26.12,$30.62,$38.94,$68032.00
17,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),13-2011,Accountants & Auditors,369,$30.76,$23.63,$28.93,$36.16,$63970.00
18,2017,530003,Central WA Nonmetropolitan Area (NMA),13-2011,Accountants & Auditors,148,$27.05,$22.74,$26.90,$30.44,$56266.00
19,2017,530004,Eastern WA Nonmetropolitan Area (NMA),13-2011,Accountants & Auditors,368,$30.88,$26.01,$29.06,$32.95,$64226.00
20,2017,53,Washington State,27-2011,Actors,465,,,,,
21,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",27-2011,Actors,41,,,,,
22,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",27-2011,Actors,450,,,,,
23,2017,53,Washington State,15-2011,Actuaries,347,$54.97,$39.67,$52.21,$67.64,$114327.00
24,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",15-2011,Actuaries,,$47.83,$31.15,$41.62,$55.91,$99471.00
25,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-2011,Actuaries,238,$56.84,$42.62,$54.80,$68.72,$118226.00
26,2017,44060,"Spokane-Spokane Valley, WA",15-2011,Actuaries,17,$43.11,$24.33,$42.37,$53.17,$89659.00
27,2017,53,Washington State,51-9191,Adhesive Bonding Machine Operators & Tenders,667,$25.04,$17.23,$21.76,$35.11,$52101.00
28,2017,13380,"Bellingham, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,48,,,,,
29,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",51-9191,Adhesive Bonding Machine Operators & Tenders,111,$18.61,$15.31,$18.10,$21.77,$38706.00
30,2017,44060,"Spokane-Spokane Valley, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,46,$14.74,$11.41,$13.50,$17.02,$30670.00
31,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",51-9191,Adhesive Bonding Machine Operators & Tenders,21,$19.97,$16.55,$18.29,$20.97,$41544.00
32,2017,49420,"Yakima, WA",51-9191,Adhesive Bonding Machine Operators & Tenders,17,,,,,
33,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),51-9191,Adhesive Bonding Machine Operators & Tenders,20,$16.35,$13.83,$15.20,$18.68,$34009.00
34,2017,53,Washington State,23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",316,$48.75,$39.74,$43.96,$52.75,$101385.00
35,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",162,$42.55,$28.72,$41.02,$54.97,$88515.00
36,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",121,$52.46,$41.83,$49.81,$57.14,$109122.00
37,2017,44060,"Spokane-Spokane Valley, WA",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",21,$56.57,$41.01,$54.34,$73.33,$117648.00
38,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",23-1021,"Admin Law Judges, Adjudicators & Hearing Officers",34,$58.29,$41.83,$48.35,$82.96,$121233.00
39,2017,53,Washington State,11-3011,Administrative Services Managers,4892,$52.20,$36.26,$47.74,$61.42,$108583.00
40,2017,13380,"Bellingham, WA",11-3011,Administrative Services Managers,99,$44.66,$30.18,$39.57,$52.02,$92899.00
41,2017,14740,"Bremerton-Silverdale, WA",11-3011,Administrative Services Managers,86,$37.32,$29.00,$39.00,$45.96,$77624.00
42,2017,28420,"Kennewick-Richland, WA",11-3011,Administrative Services Managers,179,$57.97,$42.69,$56.00,$72.07,$120584.00
43,2017,30300,"Lewiston, ID-WA",11-3011,Administrative Services Managers,52,$32.13,$19.67,$30.63,$42.21,$66848.00
44,2017,31020,"Longview, WA",11-3011,Administrative Services Managers,49,$55.57,$43.12,$54.61,$67.34,$115594.00
45,2017,34580,"Mount Vernon-Anacortes, WA",11-3011,Administrative Services Managers,62,$41.95,$33.68,$39.47,$48.73,$87246.00
46,2017,36500,"Olympia-Tumwater, WA",11-3011,Administrative Services Managers,130,$45.92,$37.00,$45.46,$54.18,$95512.00
47,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3011,Administrative Services Managers,2256,$43.43,$30.77,$40.02,$52.91,$90328.00
48,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,2946,$58.01,$41.66,$51.63,$65.99,$120665.00
49,2017,44060,"Spokane-Spokane Valley, WA",11-3011,Administrative Services Managers,309,$38.94,$27.86,$37.71,$48.07,$81001.00
50,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",11-3011,Administrative Services Managers,360,$42.61,$31.42,$39.34,$52.88,$88634.00
51,2017,47460,"Walla Walla, WA",11-3011,Administrative Services Managers,27,$37.16,$28.27,$37.78,$47.26,$77307.00
52,2017,48300,"Wenatchee, WA",11-3011,Administrative Services Managers,55,$51.26,$35.92,$53.25,$63.61,$106614.00
53,2017,49420,"Yakima, WA",11-3011,Administrative Services Managers,67,$38.50,$25.22,$36.45,$45.64,$80093.00
54,2017,530001,Northwestern WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,68,$38.28,$28.76,$35.25,$40.32,$79603.00
55,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,83,$41.21,$29.13,$39.02,$48.88,$85726.00
56,2017,530003,Central WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,36,$29.05,$17.84,$25.00,$41.42,$60430.00
57,2017,530004,Eastern WA Nonmetropolitan Area (NMA),11-3011,Administrative Services Managers,98,$44.61,$31.34,$47.35,$57.12,$92797.00
58,2017,53,Washington State,25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",2467,$24.64,$20.66,$24.26,$28.75,$51250.00
59,2017,13380,"Bellingham, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",90,$23.72,$19.50,$22.90,$27.63,$49326.00
60,2017,28420,"Kennewick-Richland, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",63,$23.51,$20.00,$22.67,$25.38,$48910.00
61,2017,36500,"Olympia-Tumwater, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",53,$20.98,$19.33,$21.91,$24.50,$43635.00
62,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",343,$27.75,$21.42,$24.86,$32.18,$57720.00
63,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",1307,$25.40,$21.15,$25.48,$29.52,$52819.00
64,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",223,$25.62,$22.07,$24.41,$28.60,$53295.00
65,2017,48300,"Wenatchee, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",56,$24.37,$21.69,$23.43,$25.17,$50693.00
66,2017,49420,"Yakima, WA",25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",96,$21.30,$16.95,$18.61,$27.06,$44283.00
67,2017,530001,Northwestern WA Nonmetropolitan Area (NMA),25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",35,$25.43,$21.25,$23.28,$30.02,$52880.00
68,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors",67,$22.96,$18.54,$22.73,$27.47,$47756.00
69,2017,53,Washington State,11-2011,Advertising & Promotions Managers,636,$62.28,$43.36,$59.40,$74.41,$129522.00
70,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-2011,Advertising & Promotions Managers,,$42.71,$27.50,$36.64,$49.49,$88848.00
71,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising & Promotions Managers,501,$63.31,$48.65,$60.57,$74.20,$131665.00
72,2017,44060,"Spokane-Spokane Valley, WA",11-2011,Advertising & Promotions Managers,27,$42.66,$28.21,$32.42,$52.15,$88736.00
73,2017,53,Washington State,41-3011,Advertising Sales Agents,2534,$25.49,$16.38,$20.43,$29.94,$53010.00
74,2017,13380,"Bellingham, WA",41-3011,Advertising Sales Agents,67,$29.33,$20.05,$27.70,$39.55,$61010.00
75,2017,14740,"Bremerton-Silverdale, WA",41-3011,Advertising Sales Agents,57,$27.44,$16.63,$21.90,$34.15,$57070.00
76,2017,28420,"Kennewick-Richland, WA",41-3011,Advertising Sales Agents,75,$30.01,$11.46,$17.73,$37.30,$62410.00
77,2017,34580,"Mount Vernon-Anacortes, WA",41-3011,Advertising Sales Agents,16,$35.31,$17.55,$19.94,$35.79,$73450.00
78,2017,36500,"Olympia-Tumwater, WA",41-3011,Advertising Sales Agents,39,$16.02,$11.28,$14.50,$20.89,$33330.00
79,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",41-3011,Advertising Sales Agents,747,$26.09,$13.55,$20.84,$32.87,$54270.00
80,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-3011,Advertising Sales Agents,1582,$25.90,$16.90,$20.70,$29.91,$53880.00
81,2017,44060,"Spokane-Spokane Valley, WA",41-3011,Advertising Sales Agents,237,$25.18,$17.21,$22.49,$30.80,$52380.00
82,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",41-3011,Advertising Sales Agents,107,$22.92,$14.23,$18.84,$24.84,$47680.00
83,2017,47460,"Walla Walla, WA",41-3011,Advertising Sales Agents,,$24.17,$14.80,$18.90,$28.50,$50270.00
84,2017,48300,"Wenatchee, WA",41-3011,Advertising Sales Agents,48,$19.93,$16.46,$18.43,$23.31,$41440.00
85,2017,49420,"Yakima, WA",41-3011,Advertising Sales Agents,105,$26.52,$14.21,$25.24,$38.87,$55160.00
86,2017,530001,Northwestern WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,19,$31.02,$20.02,$26.55,$35.01,$64520.00
87,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,38,$19.20,$13.97,$16.67,$19.74,$39940.00
88,2017,530003,Central WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,27,$15.93,$11.20,$13.11,$14.93,$33140.00
89,2017,530004,Eastern WA Nonmetropolitan Area (NMA),41-3011,Advertising Sales Agents,28,$19.41,$11.89,$19.77,$23.87,$40370.00
90,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-3021,Aerospace Engineering & Operations Technicians,22,$35.01,$27.00,$34.03,$44.40,$72809.00
91,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",17-2011,Aerospace Engineers,39,$46.66,$39.88,$46.16,$53.23,$97061.00
92,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",17-2011,Aerospace Engineers,60,$60.28,$51.98,$60.65,$71.31,$125385.00
93,2017,53,Washington State,13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",,$33.55,$16.92,$23.94,$39.38,$69777.00
94,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",63,$25.86,$13.99,$27.16,$35.57,$53787.00
95,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",,$37.53,$17.99,$25.81,$67.93,$78062.00
96,2017,53,Washington State,19-4011,Agricultural & Food Science Technicians,333,$19.59,$14.67,$17.72,$22.72,$40749.00
97,2017,28420,"Kennewick-Richland, WA",19-4011,Agricultural & Food Science Technicians,25,$23.43,$16.74,$22.50,$28.11,$48728.00
98,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",19-4011,Agricultural & Food Science Technicians,305,$21.20,$15.25,$18.78,$27.94,$44100.00
99,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",19-4011,Agricultural & Food Science Technicians,,$23.59,$16.57,$18.74,$33.27,$49083.00
100,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",19-4011,Agricultural & Food Science Technicians,32,$17.41,$14.27,$17.11,$20.00,$36212.00
101,2017,49420,"Yakima, WA",19-4011,Agricultural & Food Science Technicians,,$18.20,$14.84,$17.66,$20.76,$37842.00
102,2017,530004,Eastern WA Nonmetropolitan Area (NMA),19-4011,Agricultural & Food Science Technicians,56,$20.50,$13.48,$18.47,$26.68,$42632.00
103,2017,53,Washington State,17-2021,Agricultural Engineers,,$42.13,$38.17,$42.92,$47.38,$87624.00
104,2017,53,Washington State,45-2091,Agricultural Equipment Operators,537,$17.23,$13.70,$17.04,$19.48,$35843.00
105,2017,28420,"Kennewick-Richland, WA",45-2091,Agricultural Equipment Operators,23,$16.11,$13.90,$16.19,$18.28,$33519.00
106,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",45-2091,Agricultural Equipment Operators,,$12.23,$10.88,$11.87,$13.37,$25437.00
107,2017,48300,"Wenatchee, WA",45-2091,Agricultural Equipment Operators,22,$17.16,$14.78,$17.18,$19.14,$35690.00
108,2017,49420,"Yakima, WA",45-2091,Agricultural Equipment Operators,,$20.34,$13.60,$21.51,$25.47,$42304.00
109,2017,530004,Eastern WA Nonmetropolitan Area (NMA),45-2091,Agricultural Equipment Operators,175,$16.21,$12.58,$15.41,$18.78,$33733.00
110,2017,53,Washington State,45-2011,Agricultural Inspectors,309,$24.29,$21.73,$24.79,$27.34,$50528.00
111,2017,28420,"Kennewick-Richland, WA",45-2011,Agricultural Inspectors,14,$25.48,$24.79,$24.80,$26.56,$52994.00
112,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",45-2011,Agricultural Inspectors,86,$25.83,$23.46,$27.41,$30.39,$53728.00
113,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2011,Agricultural Inspectors,67,$28.41,$25.91,$28.04,$30.55,$59089.00
114,2017,47460,"Walla Walla, WA",45-2011,Agricultural Inspectors,14,$22.90,$19.61,$23.21,$25.51,$47634.00
115,2017,48300,"Wenatchee, WA",45-2011,Agricultural Inspectors,15,$24.82,$24.79,$24.80,$24.80,$51619.00
116,2017,49420,"Yakima, WA",45-2011,Agricultural Inspectors,71,$23.49,$21.84,$24.06,$24.80,$48857.00
117,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),45-2011,Agricultural Inspectors,,$22.98,$17.63,$22.41,$28.44,$47797.00
118,2017,530004,Eastern WA Nonmetropolitan Area (NMA),45-2011,Agricultural Inspectors,18,$21.44,$17.51,$21.77,$24.79,$44597.00
119,2017,53,Washington State,25-1041,"Agricultural Sciences Teachers, Postsecondary",18,,,,,$79360.00
120,2017,53,Washington State,45-2099,"Agricultural Workers, All Other",127,$17.69,$13.74,$16.67,$19.42,$36811.00
121,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2099,"Agricultural Workers, All Other",,$20.01,$15.96,$18.16,$22.16,$41611.00
122,2017,53,Washington State,53-2021,Air Traffic Controllers,602,$58.26,$42.87,$61.87,$70.14,$121187.00
123,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-2021,Air Traffic Controllers,453,$63.52,$54.10,$63.16,$75.15,$132113.00
124,2017,53,Washington State,53-1011,Aircraft Cargo Handling Supervisors,183,$24.12,$18.15,$20.12,$27.52,$50165.00
125,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",53-1011,Aircraft Cargo Handling Supervisors,55,$26.87,$20.24,$24.27,$32.38,$55906.00
126,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-1011,Aircraft Cargo Handling Supervisors,170,$24.35,$18.24,$20.25,$27.97,$50648.00
127,2017,53,Washington State,49-3011,Aircraft Mechanics & Service Technicians,4889,$35.22,$27.55,$35.41,$44.73,$73259.00
128,2017,13380,"Bellingham, WA",49-3011,Aircraft Mechanics & Service Technicians,53,$24.01,$17.15,$25.61,$29.90,$49937.00
129,2017,28420,"Kennewick-Richland, WA",49-3011,Aircraft Mechanics & Service Technicians,12,$21.87,$15.07,$20.14,$26.27,$45488.00
130,2017,30300,"Lewiston, ID-WA",49-3011,Aircraft Mechanics & Service Technicians,21,$22.45,$17.69,$22.25,$27.38,$46694.00
131,2017,34580,"Mount Vernon-Anacortes, WA",49-3011,Aircraft Mechanics & Service Technicians,16,$18.86,$13.83,$17.27,$23.67,$39244.00
132,2017,36500,"Olympia-Tumwater, WA",49-3011,Aircraft Mechanics & Service Technicians,39,$27.32,$25.48,$27.19,$29.40,$56809.00
133,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",49-3011,Aircraft Mechanics & Service Technicians,636,$30.73,$26.08,$29.74,$35.45,$63924.00
134,2017,44060,"Spokane-Spokane Valley, WA",49-3011,Aircraft Mechanics & Service Technicians,194,$29.50,$24.31,$27.64,$32.60,$61360.00
135,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",49-3011,Aircraft Mechanics & Service Technicians,231,$30.46,$28.59,$32.04,$34.27,$63357.00
136,2017,48300,"Wenatchee, WA",49-3011,Aircraft Mechanics & Service Technicians,,$20.85,$19.97,$21.91,$23.86,$43370.00
137,2017,49420,"Yakima, WA",49-3011,Aircraft Mechanics & Service Technicians,20,$16.00,$13.11,$15.55,$18.72,$33275.00
138,2017,530001,Northwestern WA Nonmetropolitan Area (NMA),49-3011,Aircraft Mechanics & Service Technicians,47,$26.25,$19.41,$28.74,$31.31,$54610.00
139,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",51-2011,Aircraft Structure/Surface/Rigging/System Assemblers,,$14.05,$13.33,$14.13,$14.94,$29210.00
140,2017,44060,"Spokane-Spokane Valley, WA",51-2011,Aircraft Structure/Surface/Rigging/System Assemblers,,$17.57,$13.31,$15.03,$20.99,$36551.00
141,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",51-2011,Aircraft Structure/Surface/Rigging/System Assemblers,48,,,,,
142,2017,49420,"Yakima, WA",51-2011,Aircraft Structure/Surface/Rigging/System Assemblers,46,$17.09,$14.75,$16.96,$18.97,$35540.00
143,2017,53,Washington State,53-2022,Airfield Operations Specialists,216,$30.74,$23.61,$29.40,$35.14,$63936.00
144,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",53-2022,Airfield Operations Specialists,34,$34.30,$31.62,$35.87,$39.49,$71350.00
145,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-2022,Airfield Operations Specialists,123,$32.69,$24.84,$29.40,$36.44,$67992.00
146,2017,53,Washington State,53-2011,"Airline Pilots, Copilots & Flight Engineers",2123,,,,,$204932.00
147,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",53-2011,"Airline Pilots, Copilots & Flight Engineers",619,,,,,
148,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-2011,"Airline Pilots, Copilots & Flight Engineers",2053,,,,,$206452.00
149,2017,53,Washington State,53-3011,Ambulance Drivers/Attendants (Not EMTs),291,$15.02,$11.00,$12.54,$17.14,$31249.00
150,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-3011,Ambulance Drivers/Attendants (Not EMTs),,$13.65,$10.61,$12.15,$14.84,$28384.00
151,2017,53,Washington State,39-3091,Amusement & Recreation Attendants,4436,$12.44,$10.84,$11.73,$13.17,$25874.00
152,2017,13380,"Bellingham, WA",39-3091,Amusement & Recreation Attendants,143,$12.27,$10.65,$11.37,$12.11,$25535.00
153,2017,14740,"Bremerton-Silverdale, WA",39-3091,Amusement & Recreation Attendants,71,$11.97,$10.73,$11.55,$12.54,$24878.00
154,2017,28420,"Kennewick-Richland, WA",39-3091,Amusement & Recreation Attendants,99,$11.59,$10.57,$11.30,$12.02,$24087.00
155,2017,34580,"Mount Vernon-Anacortes, WA",39-3091,Amusement & Recreation Attendants,54,$11.98,$10.74,$11.56,$12.57,$24909.00
156,2017,36500,"Olympia-Tumwater, WA",39-3091,Amusement & Recreation Attendants,156,$11.30,$10.63,$11.28,$11.93,$23491.00
157,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",39-3091,Amusement & Recreation Attendants,2830,$12.48,$10.31,$11.37,$12.87,$25956.00
158,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",39-3091,Amusement & Recreation Attendants,1943,$12.44,$10.85,$11.74,$13.12,$25884.00
159,2017,44060,"Spokane-Spokane Valley, WA",39-3091,Amusement & Recreation Attendants,568,$12.08,$10.82,$11.70,$12.65,$25124.00
160,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",39-3091,Amusement & Recreation Attendants,432,$13.14,$10.88,$11.80,$14.34,$27333.00
161,2017,48300,"Wenatchee, WA",39-3091,Amusement & Recreation Attendants,72,$12.59,$10.81,$11.64,$12.68,$26192.00
162,2017,49420,"Yakima, WA",39-3091,Amusement & Recreation Attendants,100,$11.44,$10.60,$11.25,$11.89,$23799.00
163,2017,530001,Northwestern WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,26,$13.61,$10.57,$11.82,$16.30,$28319.00
164,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,154,$11.93,$10.82,$11.65,$12.63,$24816.00
165,2017,530003,Central WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,,$13.31,$11.19,$12.42,$14.89,$27692.00
166,2017,530004,Eastern WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,59,$12.59,$10.82,$11.80,$13.61,$26203.00
167,2017,53,Washington State,29-1061,Anesthesiologists,427,$125.94,,,,$261970.00
168,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",29-1061,Anesthesiologists,365,,,,,
169,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",29-1061,Anesthesiologists,31,$91.51,$29.83,$95.95,,$190346.00
170,2017,44060,"Spokane-Spokane Valley, WA",29-1061,Anesthesiologists,,$68.10,$18.23,$55.97,,$141648.00
171,2017,530004,Eastern WA Nonmetropolitan Area (NMA),29-1061,Anesthesiologists,,$68.52,$66.97,$72.06,$77.15,$142519.00
172,2017,53,Washington State,33-9011,Animal Control Workers,177,$24.65,$20.35,$25.11,$29.67,$51265.00
173,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",33-9011,Animal Control Workers,39,$25.14,$22.11,$26.00,$29.06,$52303.00
174,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",33-9011,Animal Control Workers,66,$29.92,$26.77,$29.57,$33.27,$62235.00
175,2017,44060,"Spokane-Spokane Valley, WA",33-9011,Animal Control Workers,19,$19.84,$16.05,$18.89,$24.00,$41281.00
176,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",33-9011,Animal Control Workers,15,$25.66,$23.14,$26.53,$29.46,$53371.00
177,2017,49420,"Yakima, WA",33-9011,Animal Control Workers,21,$20.28,$18.07,$20.51,$22.94,$42165.00
178,2017,530002,Southwestern WA Nonmetropolitan Area (NMA),33-9011,Animal Control Workers,11,$21.12,$18.73,$21.95,$24.36,$43931.00
179,2017,53,Washington State,19-1011,Animal Scientists,22,,,,,
180,2017,53,Washington State,39-2011,Animal Trainers,445,$18.51,$12.66,$17.71,$22.63,$38498.00
181,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",39-2011,Animal Trainers,123,$14.92,$10.68,$11.67,$15.64,$31051.00
182,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",39-2011,Animal Trainers,316,$19.26,$14.26,$19.29,$23.15,$40049.00
183,2017,44060,"Spokane-Spokane Valley, WA",39-2011,Animal Trainers,,$12.77,$10.89,$11.96,$14.24,$26562.00
184,2017,53,Washington State,19-3091,Anthropologists & Archeologists,220,$34.48,$27.11,$33.20,$41.10,$71715.00
185,2017,36500,"Olympia-Tumwater, WA",19-3091,Anthropologists & Archeologists,35,$29.72,$25.72,$28.17,$30.62,$61811.00
186,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",19-3091,Anthropologists & Archeologists,182,$35.93,$26.71,$36.23,$43.97,$74733.00
187,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",19-3091,Anthropologists & Archeologists,87,$35.70,$27.30,$34.64,$43.96,$74247.00
188,2017,530004,Eastern WA Nonmetropolitan Area (NMA),19-3091,Anthropologists & Archeologists,20,$33.32,$24.30,$35.99,$40.20,$69295.00
189,2017,53,Washington State,25-1061,"Anthropology & Archeology Teachers, Postsecondary",324,,,,,$76505.00
190,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",25-1061,"Anthropology & Archeology Teachers, Postsecondary",22,,,,,$81274.00
191,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",25-1061,"Anthropology & Archeology Teachers, Postsecondary",105,,,,,$88717.00
192,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",25-1061,"Anthropology & Archeology Teachers, Postsecondary",30,,,,,$82874.00
193,2017,53,Washington State,13-2021,Appraisers & Assessors of Real Estate,883,$33.35,$22.98,$32.97,$40.20,$69358.00
194,2017,14740,"Bremerton-Silverdale, WA",13-2021,Appraisers & Assessors of Real Estate,27,$34.81,$30.63,$35.08,$38.63,$72399.00
195,2017,30300,"Lewiston, ID-WA",13-2021,Appraisers & Assessors of Real Estate,12,$20.50,$17.11,$19.10,$23.90,$42644.00
196,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2021,Appraisers & Assessors of Real Estate,411,$29.94,$22.04,$30.16,$36.71,$62266.00
