index,Rank,Probability,SOC_Code,Occupation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
10,11.0,0.0039,29-1031,Dietitians and Nutritionists,850.0,150.0,1200.0,460.0,7860.0,910.0,770.0,180.0,250.0,2950.0,1760.0,30.0,400.0,270.0,2210.0,1100.0,650.0,600.0,850.0,850.0,230.0,1010.0,1880.0,1760.0,1190.0,510.0,1410.0,180.0,550.0,330.0,260.0,1790.0,360.0,4960.0,1910.0,270.0,2340.0,730.0,720.0,2860.0,560.0,170.0,900.0,170.0,990.0,4610.0,630.0,200.0,,1220.0,1160.0,360.0,1410.0,90.0,62020.0
11,12.0,0.0039,11-9081,Lodging Managers,520.0,160.0,1110.0,280.0,4580.0,630.0,140.0,90.0,130.0,3380.0,670.0,50.0,490.0,210.0,1280.0,450.0,410.0,240.0,350.0,400.0,540.0,420.0,650.0,1100.0,400.0,490.0,620.0,280.0,50.0,600.0,280.0,570.0,220.0,580.0,890.0,160.0,930.0,730.0,410.0,1320.0,120.0,80.0,430.0,210.0,1140.0,3110.0,410.0,230.0,50.0,1070.0,870.0,180.0,620.0,280.0,35610.0
12,13.0,0.004,27-2032,Choreographers,,,,,690.0,,180.0,,,110.0,90.0,,,,,,,170.0,,260.0,,,,170.0,280.0,,,,,60.0,,240.0,,120.0,50.0,,60.0,,100.0,100.0,,,60.0,150.0,80.0,450.0,50.0,,,360.0,90.0,,,190.0,4110.0
13,14.0,0.0041,41-9031,Sales Engineers,270.0,70.0,1360.0,130.0,11390.0,3620.0,940.0,90.0,,1980.0,2140.0,,160.0,150.0,3520.0,1040.0,250.0,340.0,250.0,200.0,180.0,1030.0,3670.0,2550.0,1790.0,120.0,860.0,40.0,110.0,330.0,490.0,1990.0,60.0,2750.0,3340.0,70.0,3680.0,400.0,870.0,3430.0,,,360.0,110.0,950.0,11620.0,550.0,100.0,,1790.0,1300.0,40.0,1450.0,,73930.0
14,16.0,0.0042,25-9031,Instructional Coordinators,1210.0,490.0,4610.0,1640.0,18570.0,3180.0,1270.0,840.0,1540.0,9820.0,5310.0,160.0,1260.0,500.0,4290.0,1690.0,1830.0,1000.0,2390.0,1910.0,530.0,6510.0,4010.0,4330.0,2970.0,1120.0,1990.0,260.0,590.0,270.0,680.0,2760.0,510.0,11650.0,4310.0,270.0,2930.0,1190.0,1040.0,5180.0,1280.0,930.0,1950.0,370.0,1930.0,13500.0,1530.0,570.0,,4650.0,1920.0,1530.0,1650.0,330.0,148750.0
15,17.0,0.0043,19-3039,"Psychologists, All Other",130.0,,140.0,80.0,1800.0,260.0,210.0,,210.0,1470.0,340.0,,,50.0,800.0,180.0,70.0,110.0,160.0,220.0,40.0,520.0,900.0,270.0,210.0,70.0,190.0,50.0,,,,100.0,90.0,610.0,310.0,,360.0,100.0,180.0,440.0,160.0,60.0,140.0,40.0,180.0,660.0,,,,340.0,390.0,110.0,180.0,30.0,12960.0
16,18.0,0.0044,33-1012,First-Line Supervisors of Police and Detectives,1180.0,300.0,2670.0,1410.0,,1430.0,1840.0,310.0,,3930.0,3580.0,,630.0,610.0,6430.0,2000.0,920.0,1790.0,1600.0,1960.0,350.0,3710.0,4040.0,2450.0,1840.0,850.0,1810.0,250.0,580.0,860.0,460.0,3200.0,740.0,12160.0,2510.0,220.0,2530.0,2500.0,1220.0,3330.0,3110.0,620.0,1720.0,140.0,3860.0,2730.0,920.0,180.0,,2600.0,2390.0,250.0,1650.0,280.0,98650.0
17,19.0,0.0044,29-1021,"Dentists, General",1130.0,270.0,2480.0,700.0,14950.0,2020.0,1140.0,340.0,260.0,5900.0,2530.0,,550.0,370.0,4540.0,1970.0,1040.0,1050.0,840.0,870.0,370.0,2390.0,3210.0,4000.0,1700.0,770.0,1680.0,390.0,620.0,910.0,490.0,3190.0,780.0,7710.0,3190.0,210.0,3220.0,1270.0,1430.0,4250.0,180.0,280.0,1450.0,350.0,1040.0,8420.0,1130.0,170.0,,2950.0,2290.0,460.0,2150.0,230.0,105830.0
18,20.0,0.0044,25-2021,"Elementary School Teachers, Except Special Education",24710.0,3020.0,22320.0,12540.0,149340.0,26510.0,17960.0,4220.0,2770.0,73190.0,51990.0,870.0,6170.0,7190.0,60960.0,26910.0,17190.0,14570.0,18800.0,23510.0,5850.0,24960.0,27900.0,39850.0,28360.0,15390.0,28490.0,4260.0,9930.0,10430.0,5910.0,44680.0,7950.0,79570.0,40520.0,4190.0,47130.0,16750.0,13090.0,51990.0,14240.0,3480.0,21450.0,3960.0,29950.0,144980.0,15680.0,3680.0,630.0,35610.0,24320.0,6230.0,29160.0,3100.0,1408410.0
19,21.0,0.0045,19-1042,"Medical Scientists, Except Epidemiologists",190.0,,1840.0,140.0,24260.0,1130.0,1640.0,250.0,690.0,1940.0,1390.0,,310.0,130.0,2820.0,1470.0,920.0,600.0,650.0,140.0,190.0,5010.0,9710.0,2790.0,2290.0,300.0,2100.0,130.0,460.0,280.0,370.0,4150.0,370.0,9900.0,3230.0,30.0,4210.0,220.0,1930.0,6750.0,60.0,,310.0,140.0,1540.0,3540.0,550.0,290.0,,1900.0,4430.0,80.0,1000.0,,108770.0
20,22.0,0.0046,11-9032,"Education Administrators, Elementary and Secondary School",3460.0,620.0,4640.0,2390.0,20120.0,4650.0,3890.0,870.0,1300.0,4670.0,7750.0,110.0,890.0,950.0,12100.0,4520.0,2690.0,2270.0,4170.0,3960.0,1410.0,5430.0,7210.0,6570.0,3140.0,2470.0,6060.0,750.0,1610.0,1750.0,1500.0,8630.0,1650.0,19260.0,8120.0,550.0,9740.0,3060.0,3170.0,7990.0,1780.0,850.0,3890.0,610.0,5660.0,24970.0,1820.0,890.0,140.0,6620.0,4790.0,1720.0,4750.0,450.0,245030.0
21,23.0,0.0046,29-1081,Podiatrists,90.0,,230.0,70.0,720.0,,110.0,80.0,60.0,820.0,280.0,,,,450.0,200.0,100.0,70.0,110.0,70.0,40.0,230.0,220.0,450.0,130.0,,140.0,,40.0,30.0,,460.0,60.0,1140.0,220.0,,670.0,110.0,50.0,530.0,,40.0,90.0,,100.0,580.0,100.0,,,220.0,90.0,,120.0,,9320.0
22,24.0,0.0047,19-3031,"Clinical, Counseling, and School Psychologists",560.0,270.0,2500.0,450.0,18990.0,2830.0,1760.0,340.0,430.0,2720.0,2070.0,,790.0,420.0,3930.0,1300.0,650.0,1230.0,1060.0,600.0,260.0,2130.0,4900.0,2750.0,3320.0,370.0,1540.0,450.0,490.0,490.0,390.0,3600.0,910.0,11230.0,3090.0,260.0,3110.0,920.0,1130.0,5040.0,280.0,610.0,1170.0,250.0,1700.0,5820.0,1410.0,410.0,,2340.0,2050.0,610.0,2150.0,200.0,108280.0
23,25.0,0.0048,21-1014,Mental Health Counselors,970.0,650.0,1110.0,770.0,15300.0,5100.0,2090.0,450.0,930.0,3990.0,2550.0,,290.0,1080.0,5150.0,2210.0,1470.0,630.0,2140.0,2310.0,290.0,2390.0,6830.0,2580.0,4140.0,940.0,2860.0,1030.0,940.0,680.0,950.0,4790.0,1110.0,6970.0,4000.0,70.0,4750.0,2280.0,2720.0,13020.0,120.0,300.0,770.0,450.0,2470.0,4850.0,1210.0,670.0,,8980.0,4050.0,670.0,2550.0,320.0,139940.0
24,26.0,0.0049,51-6092,Fabric and Apparel Patternmakers,,,,,1500.0,80.0,,,,130.0,70.0,,,,,60.0,,,,,,40.0,50.0,30.0,,,130.0,,,,,80.0,,1120.0,290.0,,,,50.0,110.0,,,100.0,,,100.0,,,,30.0,60.0,,,,4030.0
25,27.0,0.0055,27-1027,Set and Exhibit Designers,50.0,,100.0,,3420.0,60.0,170.0,,250.0,280.0,840.0,,60.0,,410.0,70.0,,30.0,,,,200.0,190.0,100.0,240.0,,210.0,,,290.0,,40.0,110.0,2210.0,100.0,,390.0,190.0,180.0,170.0,,,40.0,,120.0,530.0,50.0,,,240.0,160.0,,110.0,,11610.0
26,28.0,0.0055,11-3121,Human Resources Managers,1320.0,190.0,2840.0,870.0,16190.0,1460.0,2200.0,430.0,1480.0,4970.0,4790.0,90.0,540.0,660.0,9020.0,2140.0,1550.0,1180.0,1500.0,1500.0,540.0,2170.0,5090.0,3770.0,4260.0,980.0,1840.0,190.0,770.0,970.0,620.0,3710.0,540.0,10100.0,3760.0,260.0,4200.0,1510.0,2380.0,4100.0,1120.0,340.0,1640.0,220.0,3160.0,6670.0,1000.0,210.0,60.0,3480.0,3360.0,320.0,2700.0,130.0,131090.0
27,29.0,0.0061,39-9032,Recreation Workers,3980.0,590.0,5510.0,1780.0,47950.0,6770.0,4500.0,890.0,580.0,21070.0,7910.0,160.0,2380.0,1270.0,21230.0,5540.0,4140.0,3860.0,2860.0,3090.0,1170.0,5510.0,9790.0,11160.0,8010.0,1660.0,5470.0,2090.0,1610.0,1470.0,1590.0,9990.0,2170.0,27260.0,7060.0,860.0,13070.0,1870.0,4250.0,12810.0,1100.0,790.0,4460.0,660.0,6080.0,18670.0,3700.0,1120.0,50.0,10810.0,6120.0,1380.0,7660.0,690.0,338220.0
28,30.0,0.0063,11-3131,Training and Development Managers,150.0,80.0,960.0,300.0,3430.0,340.0,770.0,70.0,280.0,1180.0,1170.0,,210.0,80.0,2210.0,750.0,400.0,230.0,420.0,390.0,100.0,910.0,1540.0,680.0,1160.0,190.0,390.0,,280.0,150.0,100.0,1270.0,100.0,3040.0,740.0,70.0,780.0,380.0,390.0,970.0,120.0,60.0,660.0,,1140.0,1570.0,400.0,50.0,,950.0,680.0,60.0,620.0,,32970.0
29,31.0,0.0064,29-1127,Speech-Language Pathologists,1560.0,310.0,2160.0,1900.0,11430.0,3190.0,1910.0,380.0,380.0,7260.0,3500.0,,570.0,470.0,6040.0,2440.0,1340.0,1370.0,2100.0,2420.0,720.0,2500.0,4140.0,3130.0,2520.0,1410.0,2930.0,440.0,970.0,760.0,610.0,5210.0,920.0,11360.0,4040.0,560.0,5170.0,1600.0,1680.0,5310.0,90.0,330.0,1450.0,370.0,2490.0,13520.0,1170.0,380.0,,3140.0,2850.0,1040.0,2250.0,310.0,136100.0
30,32.0,0.0065,15-1121,Computer Systems Analysts,4020.0,580.0,15150.0,2790.0,75750.0,8770.0,7120.0,3500.0,4460.0,18050.0,17000.0,60.0,1190.0,1230.0,29390.0,8310.0,5660.0,5010.0,4140.0,1900.0,1720.0,15760.0,14130.0,15250.0,15660.0,1750.0,11330.0,620.0,3430.0,1800.0,2300.0,14130.0,1490.0,38220.0,22940.0,680.0,27200.0,2930.0,4830.0,21630.0,1150.0,1820.0,5940.0,700.0,7250.0,58680.0,3800.0,480.0,50.0,26480.0,18130.0,860.0,12800.0,170.0,570190.0
31,33.0,0.0067,11-9151,Social and Community Service Managers,1190.0,380.0,1770.0,1330.0,16580.0,1330.0,3190.0,740.0,1140.0,3150.0,2310.0,40.0,670.0,970.0,3680.0,2340.0,2350.0,1100.0,2040.0,1810.0,1070.0,2830.0,6630.0,4620.0,3010.0,780.0,2050.0,540.0,840.0,760.0,620.0,3290.0,860.0,11960.0,2340.0,590.0,4170.0,1110.0,3260.0,7000.0,260.0,500.0,880.0,280.0,2140.0,3650.0,1280.0,600.0,60.0,2440.0,3350.0,480.0,3860.0,370.0,126590.0
32,34.0,0.0068,25-4012,Curators,110.0,60.0,250.0,50.0,1020.0,270.0,200.0,60.0,130.0,360.0,200.0,,30.0,30.0,370.0,150.0,140.0,130.0,110.0,170.0,100.0,120.0,590.0,290.0,200.0,40.0,150.0,100.0,80.0,120.0,80.0,120.0,120.0,1310.0,490.0,40.0,510.0,90.0,140.0,540.0,,50.0,110.0,80.0,160.0,540.0,60.0,50.0,,380.0,290.0,30.0,250.0,90.0,11160.0
33,35.0,0.0071,29-9091,Athletic Trainers,420.0,,610.0,130.0,1450.0,390.0,370.0,140.0,70.0,1150.0,510.0,,170.0,,1130.0,590.0,260.0,260.0,430.0,190.0,140.0,210.0,630.0,930.0,760.0,280.0,480.0,110.0,160.0,50.0,160.0,630.0,,1250.0,640.0,50.0,1190.0,370.0,140.0,1480.0,,90.0,310.0,120.0,450.0,2820.0,190.0,70.0,,780.0,290.0,130.0,720.0,60.0,23960.0
34,36.0,0.0073,11-9111,Medical and Health Services Managers,2960.0,880.0,7240.0,3630.0,33160.0,4420.0,5260.0,860.0,1780.0,12130.0,7470.0,60.0,1410.0,1830.0,13130.0,7940.0,5560.0,3440.0,4480.0,3320.0,1740.0,9900.0,13380.0,10980.0,7530.0,2580.0,5860.0,1210.0,2920.0,1780.0,1510.0,9960.0,1930.0,26010.0,7990.0,880.0,15540.0,6130.0,4440.0,13640.0,850.0,1380.0,5240.0,750.0,9460.0,21840.0,2640.0,780.0,70.0,7450.0,5890.0,1260.0,7980.0,660.0,333120.0
35,37.0,0.0074,25-2011,"Preschool Teachers, Except Special Education",1550.0,520.0,7170.0,3160.0,48570.0,8440.0,6160.0,2020.0,990.0,19160.0,13280.0,70.0,1610.0,1130.0,19230.0,5080.0,3830.0,2300.0,2800.0,3230.0,1220.0,9330.0,15610.0,7740.0,6580.0,2350.0,4870.0,1130.0,810.0,1630.0,2820.0,14050.0,2250.0,40010.0,12070.0,820.0,12160.0,4510.0,6800.0,14730.0,2890.0,1390.0,4610.0,1140.0,6570.0,27140.0,960.0,1130.0,140.0,9720.0,8870.0,1510.0,10120.0,690.0,388670.0
36,38.0,0.0075,25-9021,Farm and Home Management Advisors,390.0,,110.0,240.0,,,,80.0,,600.0,80.0,,,40.0,240.0,550.0,210.0,300.0,570.0,,,,,,80.0,360.0,,,420.0,30.0,,100.0,,160.0,280.0,210.0,,50.0,350.0,,710.0,,,130.0,210.0,450.0,,,,390.0,90.0,310.0,60.0,160.0,7960.0
37,39.0,0.0077,19-3091,Anthropologists and Archeologists,80.0,120.0,320.0,30.0,1320.0,230.0,,,70.0,170.0,80.0,,160.0,120.0,70.0,100.0,30.0,,80.0,110.0,,180.0,,,30.0,,130.0,60.0,,160.0,,,320.0,80.0,80.0,,110.0,,430.0,80.0,,,50.0,50.0,90.0,310.0,110.0,,,150.0,220.0,50.0,,80.0,5860.0
38,40.0,0.0077,25-2054,"Special Education Teachers, Secondary School",710.0,240.0,2250.0,1340.0,10140.0,2120.0,2030.0,310.0,650.0,2240.0,2800.0,,650.0,330.0,6910.0,1990.0,1200.0,940.0,2100.0,2420.0,900.0,3320.0,4440.0,2060.0,3410.0,1160.0,2650.0,720.0,920.0,560.0,720.0,6280.0,920.0,17280.0,4350.0,370.0,6870.0,1330.0,970.0,7180.0,,390.0,1410.0,500.0,1900.0,10620.0,910.0,490.0,,4100.0,1940.0,720.0,1360.0,340.0,132460.0
39,41.0,0.0078,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",13100.0,2250.0,15180.0,10380.0,104530.0,16710.0,14890.0,2650.0,3090.0,44070.0,25600.0,620.0,3610.0,5230.0,44360.0,19020.0,12030.0,10480.0,12540.0,13930.0,5860.0,21780.0,25650.0,19970.0,20820.0,9040.0,26800.0,3260.0,7440.0,6060.0,5200.0,30310.0,6560.0,65880.0,23760.0,2780.0,52750.0,11720.0,10210.0,45070.0,9220.0,3690.0,14770.0,3550.0,19330.0,106870.0,9150.0,2580.0,590.0,26050.0,14130.0,3770.0,22760.0,2010.0,1013660.0
40,42.0,0.0081,21-2011,Clergy,440.0,120.0,880.0,320.0,5210.0,490.0,450.0,70.0,110.0,2160.0,620.0,50.0,500.0,210.0,2090.0,810.0,320.0,310.0,580.0,280.0,60.0,660.0,650.0,2460.0,840.0,200.0,730.0,630.0,370.0,130.0,90.0,1190.0,150.0,8490.0,960.0,120.0,1680.0,390.0,4660.0,2060.0,130.0,330.0,500.0,170.0,630.0,2480.0,,40.0,,1190.0,510.0,140.0,620.0,,49280.0
41,43.0,0.0081,19-1032,Foresters,,60.0,,190.0,690.0,190.0,70.0,,,260.0,200.0,,,330.0,120.0,100.0,90.0,,140.0,,90.0,70.0,110.0,310.0,300.0,180.0,160.0,190.0,40.0,,90.0,,130.0,210.0,290.0,40.0,170.0,40.0,460.0,280.0,,,200.0,120.0,170.0,120.0,,80.0,,280.0,520.0,120.0,430.0,60.0,7700.0
42,44.0,0.0085,21-1012,"Educational, Guidance, School, and Vocational Counselors",3360.0,790.0,7710.0,1960.0,28560.0,4220.0,4650.0,1030.0,1490.0,11230.0,9550.0,150.0,1510.0,1440.0,10340.0,3960.0,2550.0,2190.0,3540.0,3710.0,1320.0,6130.0,7240.0,5800.0,4020.0,1990.0,6610.0,790.0,1640.0,2010.0,1190.0,6800.0,1570.0,22630.0,6400.0,780.0,9490.0,3620.0,2340.0,8790.0,1400.0,1020.0,4500.0,780.0,4150.0,23890.0,2910.0,770.0,130.0,6610.0,4740.0,1490.0,4290.0,600.0,262380.0
43,45.0,0.0088,25-2032,"Career/Technical Education Teachers, Secondary School",410.0,180.0,1060.0,1180.0,4230.0,770.0,2820.0,,,8090.0,1830.0,,,210.0,1320.0,1320.0,530.0,760.0,190.0,1500.0,,770.0,2560.0,1410.0,630.0,1400.0,1080.0,230.0,460.0,250.0,370.0,2000.0,290.0,4160.0,4920.0,460.0,5960.0,800.0,230.0,4530.0,1910.0,80.0,1110.0,340.0,2490.0,9290.0,440.0,250.0,,2540.0,2780.0,590.0,550.0,300.0,81580.0
44,47.0,0.0094,21-1015,Rehabilitation Counselors,1030.0,290.0,770.0,380.0,11240.0,1670.0,2490.0,360.0,810.0,2820.0,1050.0,,180.0,1910.0,2970.0,1010.0,1700.0,710.0,870.0,740.0,550.0,1970.0,5920.0,2700.0,3580.0,510.0,2890.0,460.0,600.0,300.0,450.0,1570.0,430.0,8730.0,2640.0,240.0,4420.0,1940.0,1820.0,7930.0,250.0,510.0,640.0,480.0,2960.0,3950.0,490.0,520.0,,3010.0,4880.0,950.0,1840.0,150.0,103280.0
45,49.0,0.0095,19-4092,Forensic Science Technicians,270.0,,760.0,140.0,2040.0,320.0,110.0,,,1480.0,450.0,,60.0,100.0,690.0,280.0,80.0,320.0,60.0,190.0,50.0,380.0,40.0,270.0,50.0,100.0,300.0,50.0,100.0,230.0,30.0,90.0,110.0,720.0,500.0,,370.0,,220.0,250.0,,,100.0,30.0,390.0,1030.0,120.0,,,660.0,460.0,130.0,170.0,50.0,14350.0
46,50.0,0.01,39-5091,"Makeup Artists, Theatrical and Performance",,,,,1710.0,,,,70.0,120.0,160.0,,,,,,,,,30.0,,,,,,,,,,40.0,,,,800.0,,,,,,30.0,,,,,,220.0,,,,,,,,,3180.0
47,51.0,0.01,17-2121,"Marine Engineers and Naval Architects""",,,,,590.0,,240.0,,810.0,270.0,,,120.0,,,,,,,280.0,350.0,480.0,250.0,,,390.0,,,,,,100.0,,,,,,,30.0,,,,,,,970.0,,,,1710.0,630.0,,,,7220.0
48,52.0,0.01,11-9033,"Education Administrators, Postsecondary",2460.0,180.0,,1290.0,14230.0,2280.0,2170.0,260.0,1850.0,1270.0,3190.0,,300.0,990.0,8280.0,3360.0,2400.0,1340.0,1610.0,1660.0,690.0,2530.0,,5000.0,2740.0,1620.0,2430.0,310.0,1190.0,680.0,830.0,2170.0,770.0,11380.0,4590.0,480.0,4790.0,1400.0,1310.0,4480.0,1400.0,710.0,2500.0,230.0,4460.0,5120.0,1080.0,390.0,,3050.0,2120.0,,3170.0,120.0,122860.0
49,53.0,0.011000000000000001,17-2141,"Mechanical Engineers""",3460.0,530.0,4370.0,1130.0,24830.0,5440.0,5970.0,690.0,780.0,6980.0,4810.0,60.0,680.0,820.0,14500.0,8120.0,2370.0,2520.0,3240.0,1990.0,920.0,4990.0,9180.0,42080.0,7040.0,1170.0,3420.0,370.0,950.0,660.0,1680.0,4890.0,1200.0,11330.0,7100.0,610.0,14920.0,2580.0,3860.0,13440.0,950.0,1210.0,5220.0,520.0,3980.0,19690.0,3510.0,490.0,,6950.0,7750.0,380.0,10290.0,230.0,286850.0
50,54.0,0.012,29-1051,Pharmacists,5430.0,470.0,5760.0,3520.0,28670.0,5510.0,2730.0,1110.0,800.0,21490.0,9630.0,70.0,1560.0,1440.0,12010.0,6360.0,3480.0,3010.0,4450.0,4550.0,1420.0,6490.0,7920.0,9050.0,6050.0,2740.0,6570.0,1080.0,2360.0,2340.0,1110.0,8700.0,1800.0,20440.0,9550.0,760.0,12590.0,3760.0,3990.0,13460.0,2130.0,1440.0,4800.0,1240.0,7980.0,21560.0,2560.0,490.0,70.0,7000.0,5900.0,2290.0,5560.0,540.0,307790.0
51,55.0,0.012,13-1081,Logisticians,3460.0,280.0,2330.0,1390.0,16530.0,3030.0,,,1330.0,6150.0,5240.0,30.0,430.0,410.0,6450.0,2000.0,1270.0,1370.0,1670.0,870.0,280.0,4640.0,2390.0,7500.0,2690.0,660.0,2590.0,140.0,590.0,340.0,470.0,5980.0,670.0,2960.0,4090.0,320.0,5910.0,2220.0,1570.0,6150.0,660.0,410.0,2990.0,110.0,2390.0,13280.0,2370.0,150.0,,7020.0,5920.0,280.0,2940.0,90.0,145010.0
52,56.0,0.012,19-1022,Microbiologists,110.0,40.0,120.0,150.0,5070.0,450.0,,,,260.0,780.0,,110.0,90.0,750.0,,200.0,70.0,80.0,,80.0,1970.0,1400.0,330.0,360.0,40.0,280.0,110.0,120.0,70.0,80.0,520.0,40.0,1340.0,290.0,,540.0,50.0,110.0,1060.0,210.0,,90.0,60.0,310.0,800.0,190.0,40.0,,380.0,290.0,50.0,340.0,,19830.0
53,57.0,0.012,19-3032,"Industrial-Organizational Psychologists""",,,,,,,,,,,,,,,,,,,,,,,120.0,,,,50.0,,,,,30.0,,,,,,,,50.0,,,,,,,,,,310.0,,,,,560.0
