Area Name,Occupational Code,Occupational Title,Estimated Employment,Pay Type,Mean Wage,Entry Wage,Experienced Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage
IWD Region 02 (Mason City Area),00-0000,All Occupations,51780,Hourly wage,$18.52,$9.83,$22.86,$8.82,$11.18,$15.14,$21.82,$30.95
IWD Region 3/4 (Spencer Area),00-0000,All Occupations,74080,Annual wage or salary,$38851.00,$20827.00,$47863.00,$18364.00,$23802.00,$32155.00,$45553.00,$64670.00
IWD Region 3/4 (Spencer Area),00-0000,All Occupations,74080,Hourly wage,$18.68,$10.01,$23.01,$8.83,$11.44,$15.46,$21.90,$31.09
IWD Region 15 (Ottumwa Area),00-0000,All Occupations,48750,Annual wage or salary,$38337.00,$19574.00,$47719.00,$17901.00,$22129.00,$31352.00,$45701.00,$64706.00
IWD Region 15 (Ottumwa Area),00-0000,All Occupations,48750,Hourly wage,$18.43,$9.41,$22.94,$8.61,$10.64,$15.07,$21.97,$31.11
IWD Region 16 (Burlington-Ft Madison Area),00-0000,All Occupations,55120,Annual wage or salary,$39770.00,$20253.00,$49529.00,$18193.00,$23060.00,$31866.00,$47394.00,$65588.00
IWD Region 16 (Burlington-Ft Madison Area),00-0000,All Occupations,55120,Hourly wage,$19.12,$9.74,$23.81,$8.75,$11.09,$15.32,$22.79,$31.53
IWD Region 12 (Sioux City Area),00-0000,All Occupations,74570,Annual wage or salary,$40499.00,$20568.00,$50464.00,$18383.00,$23433.00,$33232.00,$48502.00,$68206.00
IWD Region 12 (Sioux City Area),00-0000,All Occupations,74570,Hourly wage,$19.47,$9.89,$24.26,$8.84,$11.27,$15.98,$23.32,$32.79
IWD Region 13 (Council Bluffs Area),00-0000,All Occupations,67610,Annual wage or salary,$38347.00,$19633.00,$47704.00,$17992.00,$22216.00,$31614.00,$47307.00,$64904.00
IWD Region 13 (Council Bluffs Area),00-0000,All Occupations,67610,Hourly wage,$18.44,$9.44,$22.93,$8.65,$10.68,$15.20,$22.74,$31.20
IWD Region 14 (Creston Area),00-0000,All Occupations,24120,Annual wage or salary,$38180.00,$19393.00,$47573.00,$17785.00,$21895.00,$31530.00,$46066.00,$64604.00
IWD Region 14 (Creston Area),00-0000,All Occupations,24120,Hourly wage,$18.36,$9.32,$22.87,$8.55,$10.53,$15.16,$22.15,$31.06
IWD Region 10 (Cedar Rapids-Iowa City Area),00-0000,All Occupations,249480,Annual wage or salary,$46955.00,$21597.00,$59634.00,$18734.00,$24949.00,$37221.00,$57499.00,$82741.00
IWD Region 10 (Cedar Rapids-Iowa City Area),00-0000,All Occupations,249480,Hourly wage,$22.57,$10.38,$28.67,$9.01,$11.99,$17.89,$27.64,$39.78
IWD Region 11 (Des Moines Area),00-0000,All Occupations,429480,Annual wage or salary,$48598.00,$21974.00,$61910.00,$19052.00,$25456.00,$38290.00,$59025.00,$87089.00
IWD Region 11 (Des Moines Area),00-0000,All Occupations,429480,Hourly wage,$23.36,$10.56,$29.76,$9.16,$12.24,$18.41,$28.38,$41.87
"Cedar Rapids, IA Metropolitan Statistical Area",11-0000,Management Occupations,9980,Annual wage or salary,$102371.00,$51664.00,$127725.00,$42961.00,$64097.00,$96265.00,$128201.00,$163123.00
"Cedar Rapids, IA Metropolitan Statistical Area",11-0000,Management Occupations,9980,Hourly wage,$49.22,$24.84,$61.41,$20.65,$30.82,$46.28,$61.63,$78.42
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",11-0000,Management Occupations,4540,Annual wage or salary,$91005.00,$43347.00,$114834.00,$36172.00,$54127.00,$78856.00,$114227.00,$162925.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",11-0000,Management Occupations,4540,Hourly wage,$43.75,$20.84,$55.21,$17.39,$26.02,$37.91,$54.92,$78.33
"Des Moines, IA Metropolitan Statistical Area",11-0000,Management Occupations,24360,Annual wage or salary,$108265.00,$52847.00,$135975.00,$44806.00,$64520.00,$93205.00,$129066.00,$191228.00
"Des Moines, IA Metropolitan Statistical Area",11-0000,Management Occupations,24360,Hourly wage,$52.05,$25.41,$65.37,$21.54,$31.02,$44.81,$62.05,$91.94
"Ames, IA Metropolitan Statistical Area",11-0000,Management Occupations,2790,Annual wage or salary,$95502.00,$50853.00,$117827.00,$42092.00,$62588.00,$85434.00,$116400.00,$155322.00
"Ames, IA Metropolitan Statistical Area",11-0000,Management Occupations,2790,Hourly wage,$45.91,$24.45,$56.65,$20.24,$30.09,$41.07,$55.96,$74.67
Iowa,11-0000,Management Occupations,86320,Annual wage or salary,$93286.00,$44784.00,$117538.00,$37987.00,$55828.00,$80335.00,$114708.00,$159026.00
Iowa,11-0000,Management Occupations,86320,Hourly wage,$44.85,$21.53,$56.51,$18.26,$26.84,$38.62,$55.15,$76.45
Southeast Iowa,11-0000,Management Occupations,11430,Annual wage or salary,$83711.00,$40764.00,$105184.00,$34185.00,$50420.00,$73037.00,$100754.00,$139670.00
Southeast Iowa,11-0000,Management Occupations,11430,Hourly wage,$40.25,$19.60,$50.57,$16.43,$24.24,$35.11,$48.44,$67.15
Southwest Iowa,11-0000,Management Occupations,3770,Annual wage or salary,$76070.00,$36884.00,$95663.00,$30543.00,$46024.00,$68782.00,$95307.00,$127533.00
Southwest Iowa,11-0000,Management Occupations,3770,Hourly wage,$36.57,$17.73,$45.99,$14.68,$22.13,$33.07,$45.82,$61.31
Northwest Iowa,11-0000,Management Occupations,7320,Annual wage or salary,$77956.00,$39398.00,$97235.00,$30489.00,$49409.00,$70744.00,$95417.00,$126509.00
Northwest Iowa,11-0000,Management Occupations,7320,Hourly wage,$37.48,$18.94,$46.75,$14.66,$23.75,$34.01,$45.87,$60.82
"Iowa City, IA Metropolitan Statistical Area",11-0000,Management Occupations,4700,Annual wage or salary,$92802.00,$44606.00,$116900.00,$37874.00,$55454.00,$81240.00,$108469.00,$154470.00
"Iowa City, IA Metropolitan Statistical Area",11-0000,Management Occupations,4700,Hourly wage,$44.62,$21.44,$56.20,$18.21,$26.66,$39.06,$52.15,$74.26
"Sioux City, IA-NE-SD Metropolitan Statistical Area",11-0000,Management Occupations,3100,Annual wage or salary,$86841.00,$44181.00,$108172.00,$38816.00,$52178.00,$72845.00,$101161.00,$150432.00
"Sioux City, IA-NE-SD Metropolitan Statistical Area",11-0000,Management Occupations,3100,Hourly wage,$41.75,$21.24,$52.01,$18.66,$25.09,$35.02,$48.64,$72.32
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",11-0000,Management Occupations,4510,Annual wage or salary,$88473.00,$44350.00,$110534.00,$39154.00,$52655.00,$75983.00,$107384.00,$149715.00
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",11-0000,Management Occupations,4510,Hourly wage,$42.54,$21.32,$53.14,$18.82,$25.31,$36.53,$51.63,$71.98
Northeast Iowa,11-0000,Management Occupations,4490,Annual wage or salary,$79728.00,$41814.00,$98685.00,$35626.00,$51735.00,$70825.00,$95709.00,$129431.00
Northeast Iowa,11-0000,Management Occupations,4490,Hourly wage,$38.33,$20.10,$47.44,$17.13,$24.87,$34.05,$46.01,$62.23
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",11-0000,Management Occupations,2160,Annual wage or salary,$75160.00,$39755.00,$92862.00,$34080.00,$47770.00,$63584.00,$91554.00,$124700.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",11-0000,Management Occupations,2160,Hourly wage,$36.13,$19.11,$44.65,$16.38,$22.97,$30.57,$44.02,$59.95
"Dubuque, IA Metropolitan Statistical Area",11-0000,Management Occupations,3040,Annual wage or salary,$86860.00,$41335.00,$109623.00,$35274.00,$50762.00,$72708.00,$104700.00,$148462.00
"Dubuque, IA Metropolitan Statistical Area",11-0000,Management Occupations,3040,Hourly wage,$41.76,$19.87,$52.70,$16.96,$24.40,$34.96,$50.34,$71.38
IWD Region 08 (Carroll Area),11-0000,Management Occupations,1360,Annual wage or salary,$77905.00,$37662.00,$98027.00,$32117.00,$46454.00,$69193.00,$95375.00,$132897.00
IWD Region 08 (Carroll Area),11-0000,Management Occupations,1360,Hourly wage,$37.45,$18.11,$47.13,$15.44,$22.33,$33.27,$45.85,$63.89
IWD Region 09 (Davenport Area),11-0000,Management Occupations,7080,Annual wage or salary,$90472.00,$43590.00,$113913.00,$37045.00,$53826.00,$78039.00,$111378.00,$158845.00
IWD Region 09 (Davenport Area),11-0000,Management Occupations,7080,Hourly wage,$43.50,$20.96,$54.77,$17.81,$25.88,$37.52,$53.55,$76.37
IWD Region 07 (Waterloo Area),11-0000,Management Occupations,4970,Annual wage or salary,$87417.00,$43861.00,$109195.00,$38868.00,$52138.00,$75264.00,$105602.00,$147169.00
IWD Region 07 (Waterloo Area),11-0000,Management Occupations,4970,Hourly wage,$42.03,$21.09,$52.50,$18.69,$25.07,$36.18,$50.77,$70.75
IWD Region 06 (Marshalltown Area),11-0000,Management Occupations,2370,Annual wage or salary,$87710.00,$45827.00,$108651.00,$40493.00,$55317.00,$78170.00,$102613.00,$141907.00
IWD Region 06 (Marshalltown Area),11-0000,Management Occupations,2370,Hourly wage,$42.17,$22.03,$52.24,$19.47,$26.59,$37.58,$49.33,$68.22
IWD Region 05 (Ft Dodge-Webster City Area),11-0000,Management Occupations,2170,Annual wage or salary,$79021.00,$42285.00,$97389.00,$35864.00,$51281.00,$71512.00,$94086.00,$123212.00
IWD Region 05 (Ft Dodge-Webster City Area),11-0000,Management Occupations,2170,Hourly wage,$37.99,$20.33,$46.82,$17.24,$24.65,$34.38,$45.23,$59.24
IWD Region 01 (Dubuque-Decorah Area),11-0000,Management Occupations,4940,Annual wage or salary,$82691.00,$41062.00,$103506.00,$34461.00,$51223.00,$71311.00,$99382.00,$135191.00
IWD Region 01 (Dubuque-Decorah Area),11-0000,Management Occupations,4940,Hourly wage,$39.76,$19.74,$49.76,$16.57,$24.63,$34.28,$47.78,$65.00
IWD Region 02 (Mason City Area),11-0000,Management Occupations,2470,Annual wage or salary,$77307.00,$34234.00,$98844.00,$27871.00,$43104.00,$67978.00,$96137.00,$131506.00
IWD Region 02 (Mason City Area),11-0000,Management Occupations,2470,Hourly wage,$37.17,$16.46,$47.52,$13.40,$20.72,$32.68,$46.22,$63.22
IWD Region 3/4 (Spencer Area),11-0000,Management Occupations,3840,Annual wage or salary,$79696.00,$42012.00,$98537.00,$33529.00,$53028.00,$72012.00,$97609.00,$129478.00
IWD Region 3/4 (Spencer Area),11-0000,Management Occupations,3840,Hourly wage,$38.32,$20.20,$47.37,$16.12,$25.49,$34.62,$46.93,$62.25
IWD Region 15 (Ottumwa Area),11-0000,Management Occupations,2280,Annual wage or salary,$75253.00,$38238.00,$93761.00,$31292.00,$47369.00,$65660.00,$91059.00,$124736.00
IWD Region 15 (Ottumwa Area),11-0000,Management Occupations,2280,Hourly wage,$36.18,$18.38,$45.08,$15.04,$22.77,$31.57,$43.78,$59.97
IWD Region 16 (Burlington-Ft Madison Area),11-0000,Management Occupations,2740,Annual wage or salary,$81050.00,$35482.00,$103834.00,$27553.00,$45938.00,$70928.00,$100117.00,$141875.00
IWD Region 16 (Burlington-Ft Madison Area),11-0000,Management Occupations,2740,Hourly wage,$38.97,$17.06,$49.92,$13.25,$22.09,$34.10,$48.13,$68.21
IWD Region 12 (Sioux City Area),11-0000,Management Occupations,3610,Annual wage or salary,$86153.00,$44381.00,$107038.00,$38859.00,$52712.00,$73169.00,$100382.00,$146205.00
IWD Region 12 (Sioux City Area),11-0000,Management Occupations,3610,Hourly wage,$41.42,$21.34,$51.46,$18.68,$25.34,$35.18,$48.26,$70.29
IWD Region 13 (Council Bluffs Area),11-0000,Management Occupations,3190,Annual wage or salary,$77379.00,$40777.00,$95679.00,$34606.00,$49196.00,$67031.00,$95412.00,$127373.00
IWD Region 13 (Council Bluffs Area),11-0000,Management Occupations,3190,Hourly wage,$37.20,$19.60,$46.00,$16.64,$23.65,$32.23,$45.87,$61.24
IWD Region 14 (Creston Area),11-0000,Management Occupations,1040,Annual wage or salary,$74726.00,$34603.00,$94787.00,$27108.00,$44522.00,$68405.00,$95583.00,$129577.00
IWD Region 14 (Creston Area),11-0000,Management Occupations,1040,Hourly wage,$35.93,$16.64,$45.57,$13.03,$21.41,$32.89,$45.95,$62.30
IWD Region 10 (Cedar Rapids-Iowa City Area),11-0000,Management Occupations,15290,Annual wage or salary,$98167.00,$48248.00,$123127.00,$40483.00,$59633.00,$89458.00,$122793.00,$160722.00
IWD Region 10 (Cedar Rapids-Iowa City Area),11-0000,Management Occupations,15290,Hourly wage,$47.20,$23.20,$59.20,$19.46,$28.67,$43.01,$59.04,$77.27
IWD Region 11 (Des Moines Area),11-0000,Management Occupations,28830,Annual wage or salary,$105618.00,$51766.00,$132544.00,$43533.00,$63481.00,$90742.00,$126644.00,$184340.00
IWD Region 11 (Des Moines Area),11-0000,Management Occupations,28830,Hourly wage,$50.78,$24.89,$63.72,$20.93,$30.52,$43.63,$60.89,$88.62
"Cedar Rapids, IA Metropolitan Statistical Area",11-1011,Chief Executives,200,Annual wage or salary,$198189.00,$62753.00,$265906.00,$34342.00,$96669.00,,,
"Cedar Rapids, IA Metropolitan Statistical Area",11-1011,Chief Executives,200,Hourly wage,$95.28,$30.17,$127.84,$16.51,$46.48,,,
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",11-1011,Chief Executives,70,Annual wage or salary,$180242.00,$79650.00,$230538.00,$49016.00,$113263.00,$164784.00,,
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",11-1011,Chief Executives,70,Hourly wage,$86.65,$38.29,$110.84,$23.57,$54.45,$79.22,,
"Des Moines, IA Metropolitan Statistical Area",11-1011,Chief Executives,570,Annual wage or salary,$218394.00,$104304.00,$275439.00,$86494.00,$138021.00,,,
"Des Moines, IA Metropolitan Statistical Area",11-1011,Chief Executives,570,Hourly wage,$105.00,$50.15,$132.42,$41.58,$66.36,,,
"Ames, IA Metropolitan Statistical Area",11-1011,Chief Executives,60,Annual wage or salary,$173824.00,$48845.00,$236313.00,$18116.00,$74343.00,$163134.00,,
"Ames, IA Metropolitan Statistical Area",11-1011,Chief Executives,60,Hourly wage,$83.57,$23.48,$113.61,$8.71,$35.74,$78.43,,
Iowa,11-1011,Chief Executives,2050,Annual wage or salary,$176922.00,$55946.00,$237410.00,$30510.00,$87064.00,$160958.00,,
Iowa,11-1011,Chief Executives,2050,Hourly wage,$85.06,$26.90,$114.14,$14.67,$41.86,$77.38,,
Southeast Iowa,11-1011,Chief Executives,280,Annual wage or salary,$140226.00,$30676.00,$195001.00,$18743.00,$37700.00,$123101.00,,
Southeast Iowa,11-1011,Chief Executives,280,Hourly wage,$67.42,$14.75,$93.75,$9.01,$18.12,$59.18,,
Southwest Iowa,11-1011,Chief Executives,100,Annual wage or salary,$85944.00,$19803.00,$119014.00,$17294.00,$19808.00,$34415.00,$138762.00,$202746.00
Southwest Iowa,11-1011,Chief Executives,100,Hourly wage,$41.32,$9.52,$57.22,$8.31,$9.52,$16.55,$66.71,$97.47
Northwest Iowa,11-1011,Chief Executives,190,Annual wage or salary,$150807.00,$48016.00,$202202.00,$26818.00,$79336.00,$126042.00,,
Northwest Iowa,11-1011,Chief Executives,190,Hourly wage,$72.50,$23.08,$97.21,$12.89,$38.14,$60.60,,
"Iowa City, IA Metropolitan Statistical Area",11-1011,Chief Executives,100,Annual wage or salary,$203528.00,$78480.00,$266052.00,$67654.00,$106795.00,,,
"Iowa City, IA Metropolitan Statistical Area",11-1011,Chief Executives,100,Hourly wage,$97.85,$37.73,$127.91,$32.53,$51.34,,,
"Sioux City, IA-NE-SD Metropolitan Statistical Area",11-1011,Chief Executives,80,Annual wage or salary,$193368.00,$94486.00,$242809.00,$76709.00,$117270.00,$183322.00,,
"Sioux City, IA-NE-SD Metropolitan Statistical Area",11-1011,Chief Executives,80,Hourly wage,$92.97,$45.43,$116.73,$36.88,$56.38,$88.14,,
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",11-1011,Chief Executives,100,Annual wage or salary,$161573.00,$51846.00,$216436.00,$32421.00,$86320.00,$155562.00,,
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",11-1011,Chief Executives,100,Hourly wage,$77.68,$24.93,$104.06,$15.59,$41.50,$74.79,,
Northeast Iowa,11-1011,Chief Executives,130,Annual wage or salary,$140993.00,$29009.00,$196985.00,$19775.00,$36428.00,$127049.00,,
Northeast Iowa,11-1011,Chief Executives,130,Hourly wage,$67.79,$13.95,$94.70,$9.51,$17.51,$61.08,,
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",11-1011,Chief Executives,80,Annual wage or salary,$149737.00,$31649.00,$208781.00,$25323.00,$37616.00,$138360.00,,
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",11-1011,Chief Executives,80,Hourly wage,$71.99,$15.22,$100.38,$12.17,$18.08,$66.52,,
"Dubuque, IA Metropolitan Statistical Area",11-1011,Chief Executives,90,Annual wage or salary,$181028.00,$50342.00,$246371.00,$23249.00,$86923.00,$170280.00,,
"Dubuque, IA Metropolitan Statistical Area",11-1011,Chief Executives,90,Hourly wage,$87.03,$24.20,$118.45,$11.18,$41.79,$81.87,,
IWD Region 08 (Carroll Area),11-1011,Chief Executives,60,Annual wage or salary,,,,,,,,
IWD Region 08 (Carroll Area),11-1011,Chief Executives,60,Hourly wage,,,,,,,,
IWD Region 09 (Davenport Area),11-1011,Chief Executives,170,Annual wage or salary,$146350.00,$31951.00,$203550.00,$17841.00,$41722.00,$130222.00,,
IWD Region 09 (Davenport Area),11-1011,Chief Executives,170,Hourly wage,$70.36,$15.36,$97.86,$8.58,$20.06,$62.61,,
IWD Region 07 (Waterloo Area),11-1011,Chief Executives,110,Annual wage or salary,$154226.00,$46066.00,$208306.00,$29140.00,$77273.00,$143147.00,,
IWD Region 07 (Waterloo Area),11-1011,Chief Executives,110,Hourly wage,$74.15,$22.15,$100.15,$14.01,$37.15,$68.82,,
IWD Region 06 (Marshalltown Area),11-1011,Chief Executives,40,Annual wage or salary,$208887.00,$100896.00,$262883.00,$75275.00,$136122.00,$201812.00,,
IWD Region 06 (Marshalltown Area),11-1011,Chief Executives,40,Hourly wage,$100.43,$48.51,$126.39,$36.19,$65.44,$97.02,,
IWD Region 05 (Ft Dodge-Webster City Area),11-1011,Chief Executives,50,Annual wage or salary,$153247.00,$37466.00,$211137.00,$27421.00,$31111.00,$121392.00,,
IWD Region 05 (Ft Dodge-Webster City Area),11-1011,Chief Executives,50,Hourly wage,$73.68,$18.01,$101.51,$13.18,$14.96,$58.36,,
IWD Region 01 (Dubuque-Decorah Area),11-1011,Chief Executives,130,Annual wage or salary,$159986.00,$33523.00,$223218.00,$20005.00,$37230.00,$146625.00,,
IWD Region 01 (Dubuque-Decorah Area),11-1011,Chief Executives,130,Hourly wage,$76.92,$16.12,$107.32,$9.62,$17.90,$70.49,,
IWD Region 02 (Mason City Area),11-1011,Chief Executives,80,Annual wage or salary,$155881.00,$35098.00,$216272.00,$31926.00,$38274.00,$136953.00,,
IWD Region 02 (Mason City Area),11-1011,Chief Executives,80,Hourly wage,$74.94,$16.87,$103.98,$15.35,$18.40,$65.84,,
IWD Region 3/4 (Spencer Area),11-1011,Chief Executives,90,Annual wage or salary,$151538.00,$39486.00,$207564.00,$19698.00,$31812.00,$136303.00,,
IWD Region 3/4 (Spencer Area),11-1011,Chief Executives,90,Hourly wage,$72.85,$18.98,$99.79,$9.47,$15.29,$65.53,,
IWD Region 15 (Ottumwa Area),11-1011,Chief Executives,50,Annual wage or salary,$126423.00,$33803.00,$172733.00,$32165.00,$36862.00,$110780.00,$172674.00,
IWD Region 15 (Ottumwa Area),11-1011,Chief Executives,50,Hourly wage,$60.78,$16.25,$83.04,$15.46,$17.72,$53.26,$83.02,
IWD Region 16 (Burlington-Ft Madison Area),11-1011,Chief Executives,50,Annual wage or salary,$125003.00,$30632.00,$172188.00,$31566.00,$35536.00,$76137.00,$200970.00,
IWD Region 16 (Burlington-Ft Madison Area),11-1011,Chief Executives,50,Hourly wage,$60.10,$14.73,$82.78,$15.18,$17.08,$36.60,$96.62,
IWD Region 11 (Des Moines Area),11-1011,Chief Executives,660,Hourly wage,$101.11,$45.71,$128.80,$36.09,$61.94,,,
IWD Region 12 (Sioux City Area),11-1011,Chief Executives,120,Annual wage or salary,$174167.00,$94634.00,$213933.00,$79430.00,$112404.00,$141593.00,,
IWD Region 12 (Sioux City Area),11-1011,Chief Executives,120,Hourly wage,$83.73,$45.50,$102.85,$38.19,$54.04,$68.07,,
